买家用户名,客户标签,运营建议,净消费额(Net LTV),总流水(Gross),订单数(1Y),退货率(1Y),最近购买(天前),客单价(Net AOV)
lopoli_snitudw,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,29.43,29.43,1,0.0%,3,29.43
jealv_78,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,29.43,29.43,1,0.0%,12,29.43
shine.glory.star,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,29.0,29.0,1,0.0%,3,29.0
sfcricardo415,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,29.0,29.0,1,0.0%,1,29.0
rockbratche-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.99,28.99,1,0.0%,3,28.99
mi-5477899,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.97,28.97,1,0.0%,14,28.97
fernandbehmac0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.97,28.97,1,0.0%,27,28.97
saul319,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.78,28.78,1,0.0%,23,28.78
jaker-7591,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,9,28.51
91chula96,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,29,28.51
richarcaria_0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,21,28.51
samsung_3396,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,7,28.51
anjisteph-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,9,28.51
pa_350861,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,19,28.51
rogelisaldan-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,27,28.51
johndiaz18,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,27,28.51
ivha_4662,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,2,28.51
chris600r83,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,17,28.51
rodzar-16,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,21,28.51
kelvigonzalezcorte0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,1,28.51
marar6641,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,25,28.51
elbena_54,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,3,28.51
tm1017,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,16,28.51
robert_mcpherson66,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,18,28.51
european_plus,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,7,28.51
eugob24,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,4,28.51
bolo40402012,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,5,28.51
wosa1986_aixitdwesk,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,7,28.51
yuneisyg18,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,15,28.51
robsi_5658,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,1,28.51
alba_24686,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,16,28.51
rjbody38,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,27,28.51
mechanical87,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,3,28.51
323*miguel,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,19,28.51
janjfaj_0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,8,28.51
cae_464,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,19,28.51
gregory1330,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,25,28.51
rhilley67,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,2,28.51
briz_9248,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,2,28.51
popfaith1,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,2,28.51
jac-6392,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,23,28.51
qwua44,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,26,28.51
jove_58,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,1,28.51
rayshawnt123,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,26,28.51
jayjayholms,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,12,28.51
christian_9355,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,3,28.51
marielmurill5,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,3,28.51
grind-deann,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,29,28.51
jt7bj-86,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,8,28.51
manuel409,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,0,28.51
edgar7399,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.51,28.51,1,0.0%,22,28.51
awsome53203,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,28.5,28.5,2,0.0%,99,14.25
nyc14425jose,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,18,28.49
andre.nikul,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,10,28.49
lionbuda031,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,9,28.49
tim-1055,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,19,28.49
masdcj,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,20,28.49
kevinhaley,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,23,28.49
4*4muddirt,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,18,28.49
dobba_inc,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,0,28.49
bobziesmer,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.49,28.49,1,0.0%,16,28.49
jackwiederholt,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.45,28.45,1,0.0%,27,28.45
luyl-72,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,4,28.05
adsore12,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,14,28.05
musclehead020,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,10,28.05
basham1967,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,2,28.05
johrosenbal_3,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,5,28.05
ske0840-uotsyxdr,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.05,28.05,1,0.0%,9,28.05
kamsh_18,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,22,28.0
besttackle2010,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,1,28.0
johnbat32,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,28,28.0
ridered9357,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,23,28.0
937royalty,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,16,28.0
lababy2428,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,28.0,28.0,1,0.0%,26,28.0
gjayschmidt,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,25,27.99
chuy_07_23,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,3,27.99
jadel_6472,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,29,27.99
ognarhonenone,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,27,27.99
lunguv,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,13,27.99
hawj-24,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,10,27.99
undermud,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,19,27.99
redlotus4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,15,27.99
red66gt390,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,2,27.99
mas-398201,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,6,27.99
americangorilla,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,23,27.99
dareickcocks20,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,13,27.99
arlmo7312,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,23,27.99
kwikwag4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.99,27.99,1,0.0%,8,27.99
alvireede-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.81,27.81,1,0.0%,18,27.81
the-good-life,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,5,27.59
chri_731853,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,20,27.59
eltony1714,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,4,27.59
sernav95,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,19,27.59
twistedkrazeamx,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
fireladybug,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,22,27.59
hecaldero-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,25,27.59
rsouth010,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,19,27.59
brad_7417,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,22,27.59
scottschroll,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,13,27.59
booksfordollar,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,11,27.59
travahay0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,14,27.59
2010braves1991,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,16,27.59
bryan5562,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,20,27.59
gilnu_32,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,29,27.59
360dart-in,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,25,27.59
dariforreste_0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
monzaautos,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,26,27.59
ddownes03,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,7,27.59
capuc_163,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,1,27.59
sandma-477,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,23,27.59
cordrich317,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,20,27.59
coohop_68,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,19,27.59
cback81,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,10,27.59
sandovalivand,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,7,27.59
ml06_13,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,5,27.59
mke.seller,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,13,27.59
dkndj_56,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,22,27.59
usedpartsonline,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,18,27.59
du_5347,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,29,27.59
1fast355,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,16,27.59
twokn,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,8,27.59
charlieldo72,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,23,27.59
arreola145,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,26,27.59
victo-7459,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
j0e_fr0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,28,27.59
homeslice22s,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,28,27.59
olmae.us.pwcnfjyn,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,12,27.59
hodgimoto1974,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,28,27.59
66belvedere,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,10,27.59
wadgeis,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,25,27.59
alexzande-51,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,24,27.59
highbaughs,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,7,27.59
marc102311,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,4,27.59
ronnimitchel21,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,8,27.59
wuznme4x4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,1,27.59
hre-32512,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
vince2020,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,27,27.59
jt29483,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,27,27.59
justipilche0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,28,27.59
plwtoo,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,23,27.59
rpri3118,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,22,27.59
alexmtz21,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,7,27.59
autopartscny,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
javievo9,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,2,27.59
josan4886,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,8,27.59
alln1980,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,23,27.59
anmy90,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.59,27.59,1,0.0%,20,27.59
papav-7169,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.57,27.57,1,0.0%,6,27.57
kwally76,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.57,27.57,1,0.0%,19,27.57
tian348088,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.55,27.55,1,0.0%,6,27.55
motivation4u,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.29,27.29,1,0.0%,10,27.29
omprec_58,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.18,27.18,1,0.0%,10,27.18
bandaone,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,0,27.0
geaux_viva,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,13,27.0
georg_brazi,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,21,27.0
disilluznsbaby,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,2,27.0
bil1864,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,26,27.0
alerodr-14,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,27.0,27.0,1,0.0%,21,27.0
crigier,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,29,26.67
endlessskye,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,22,26.67
zosoed,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,18,26.67
j09950,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,19,26.67
ji146982,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,14,26.67
anahi2186,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,9,26.67
villae_995,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,26,26.67
mgabbard31,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,3,26.67
jamaal518,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,16,26.67
todometros,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,10,26.67
anthonynoah603,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,4,26.67
nicspringer,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,27,26.67
z*s_classic_chevy_parts,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,5,26.67
jepeq-94,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,8,26.67
scot-gama,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,10,26.67
glynnsplumbing_4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,9,26.67
totric_37,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,8,26.67
dustibates,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,5,26.67
lisborreg0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,10,26.67
branixor1232,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,1,26.67
jrwiv4john,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,12,26.67
gorjor4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,12,26.67
chevyguy78,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,26,26.67
choic2,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,16,26.67
jojosham,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,20,26.67
niteryder007,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.67,26.67,1,0.0%,17,26.67
bamaman7986,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,22,26.49
jrdachiefahh,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,13,26.49
andfi_5713,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,5,26.49
machxicano,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,22,26.49
lookin_good_911,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,15,26.49
mat9513,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,18,26.49
tschimperle123,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,29,26.49
007depot,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,15,26.49
togarage,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,5,26.49
johnnym1157,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,25,26.49
rogersw_30,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,17,26.49
shan2213,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,22,26.49
corbin0912,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.49,26.49,1,0.0%,16,26.49
z54dj_1,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.21,26.21,1,0.0%,24,26.21
andrebrow_164,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.21,26.21,1,0.0%,26,26.21
edwlu5873,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.03,26.03,1,0.0%,8,26.03
wilbarrodriguez,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.03,26.03,1,0.0%,10,26.03
nightwing565,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.03,26.03,1,0.0%,4,26.03
defa-2009,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.03,26.03,1,0.0%,13,26.03
towdude70,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,10,26.0
jprovo1010,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,21,26.0
commodore70,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,3,26.0
ncbearhunter258,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,5,26.0
hgu4mjaz4,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,21,26.0
gr_wynw_mytslwv,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,0,26.0
sprieus,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,19,26.0
johnnyba13,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,26.0,26.0,1,0.0%,0,26.0
lucasm74,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,24,25.99
ali*656,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,27,25.99
querrekee,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,20,25.99
paup1659,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,5,25.99
jahwill_96,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,5,25.99
richman1970rich,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,10,25.99
traxxasrunner8,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,29,25.99
atihern_11,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,18,25.99
heriberthernande_7,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,7,25.99
acarfo-32,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,23,25.99
csmythe6310,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,12,25.99
a1lawncare,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,2,25.99
sultani198,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,22,25.99
pfparty-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,19,25.99
luxeimport,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,22,25.99
bryceh6699,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,5,25.99
khisraw786,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,21,25.99
jnogues,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.99,25.99,1,0.0%,18,25.99
fg081_42,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,5,25.75
jzca53,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,8,25.75
seanhawks,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,12,25.75
rayhi-4452,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,6,25.75
macpasblue,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,29,25.75
justinjace-0821,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,14,25.75
extrapale,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,5,25.75
euglena.ameoba,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,25.75,25.75,1,0.0%,22,25.75
